,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 17:53:51+00:00,"RT @CNBCnow: Stocks hitting all-time highs today:

$GOOG &amp; $GOOGL
$MCD
$AMZN
$RCL
$DPS
$SJM https://t.co/Yvx1eaz7u4",BrandonML,217,212,BULLISH
1,2015-12-29 17:59:38+00:00,$AMZN jumps on the prepper trend... https://t.co/N5SV1C83lf,Nonrelatedsense,1713,792,BULLISH
2,2015-12-29 15:35:24+00:00,Commented on StockTwits: $GOOGL $AMZN they dont want your window to be undressed https://t.co/zWXzNKFtWw,1simpletrader,134,63,BULLISH
3,2015-12-29 14:20:07+00:00,"RT @irnetnews: https://t.co/bY2X4sCoXc, Inc. $AMZN To Expand Grocery Service In UK - https://t.co/qQ7qgPA7Ui",7LadyQ,305,279,BULLISH
4,2015-12-29 18:55:57+00:00,*** Goldman Sachs $GS has upgraded $BZUN to a BUY with a 20$ price target *** $TNXP $FXCM $ACHN $VRX $INTC $TASR $XBI $REXI $AMZN,ghasgjhjsafgcb2,19,318,BULLISH
5,2015-12-29 02:13:47+00:00,"RT @SJosephBurns: #FANG return for 2015 is:
$FB +34%  
$AMZN + 115% 
$NFLX + 134%
$GOOG +45%  
***Avg: +82%***

Via @catskillfishing",mike_lachance,724,341,BULLISH
6,2015-12-29 21:01:03+00:00,$ES_F $SPY $QQQ $IWM $AMZN have a great evening everyone!,smtraderCA,640,38,NEUTRAL
7,2015-12-29 16:59:40+00:00,RT @CEOTechnician: $AMZN is breaking out 'ahead of schedule': https://t.co/j86ja8Bf27,think7eleven,17,65,BULLISH
8,2015-12-29 21:21:25+00:00,"RT @CNBCnow: Stocks hitting all-time highs today:

$GOOG &amp; $GOOGL
$MCD
$AMZN
$RCL
$DPS
$SJM https://t.co/Yvx1eaz7u4",farismismar,158,288,BULLISH
9,2015-12-29 21:47:16+00:00,"RT @CNBCnow: Stocks that set new record closing highs today:

$GOOG, $GOOGL, $AMZN, $RCL, $K, $MCD, $DPS, $KMB, $TMO. https://t.co/k4Kg8tED…",harians,56,120,BULLISH
10,2015-12-29 05:10:22+00:00,"$AMZN 5 Things Time Warner, Inc. Management Wants You to Know https://t.co/YGps5K7W5O",LloydCreekStock,1052,1578,NEUTRAL
11,2015-12-29 16:35:24+00:00,"RT @CNBCnow: UPS CEO on $AMZN: ""We just don't see how any of our large retailers would be better off without us..."" https://t.co/z79UcYFWB2",nmenon8441,5,32,BULLISH
12,2015-12-29 16:37:03+00:00,"https://t.co/A4jCf3PIf2 AMZN https://t.co/Tlnz4b9I9C, Inc. P/E Ratio
https://t.co/m7LkxkENwq

$AMZN $TPAC $XLF $… https://t.co/CXZMU7d1Ew",scoreIIGOAL,22,0,NEUTRAL
13,2015-12-29 16:06:39+00:00,@SquawkAlley house of cards in $NFLX not $AMZN,DoyleBrianJ,34,210,NEUTRAL
14,2015-12-29 16:07:31+00:00,Option Millionaires: uranium-pinto-beans: FANG rocked 2015 $FB +38% $AMZN +120% https://t.co/PGnf5mZbsO,ManiOhli,162,0,BULLISH
15,2015-12-29 16:08:22+00:00,$AMZN text book intrday flag break.,szaman,34827,221,BEARISH
