,Date,Text,User,Followers,Friends,sentiment
0,2015-12-01 22:04:04+00:00,$BABA Technical Analysis Video 12/1/2015 https://t.co/xPyzBeD0Up,ChartingManDan,185,121,NEUTRAL
1,2015-12-01 11:56:03+00:00,"$BABA $FREE:

Services Stocks News Review: Alibaba Group Holding Ltd (NYSE …:

https://t.co/Ar33q55gnX",StockNewsWires,700,9,NEUTRAL
2,2015-12-01 19:51:09+00:00,"$BABA Stock Price Updated Tuesday, December 1, 2015 2:07:22 PM $HJOE $XRT $BOX $MO https://t.co/r1rJUsoWxe",PolgarStocks,981,451,NEUTRAL
3,2015-12-01 12:06:10+00:00,"RT @WrigleyTom: $BABA $BIDU $JD $NTES etc

China Internet: What To Buy And
Sell According To Goldman Sachs

https://t.co/rYMo1W30EZ https:/…",MinaelisaChen,48,176,NEUTRAL
4,2014-10-16 05:40:58+00:00,"""@NaviAvatar: $BABA - opening up to more Chinese app devs. 1st day up from the bottom - lets rock this to 95 $SPY http://t.co/VqkF7OKatl"" :)",TheOptionDon,1108,938,BULLISH
5,2014-10-16 15:27:06+00:00,RT @shaneblackmon: $BABA over $87.50 now,Janz_Stock,278,296,BULLISH
6,2014-10-16 15:31:22+00:00,"Thanks to $BABA, $YHOO is as high as it's been for the past 10yrs - but I see absolutely nothing interesting about Yahoo's future.",tdelet,624,1082,BEARISH
7,2014-10-16 03:28:14+00:00,RT @CBOE: A Brief Look at the First Day of Option Trading for BABA $BABA http://t.co/N7azIyUx5G,honeykanii,1452,144,BULLISH
8,2014-10-16 11:21:51+00:00,"RT @AWastler: Top stock lookups on http://t.co/dw39TKnsmw ysty: $AAPL, $NFLX, $BAC, $FB, $SPY, $BABA, $INTC, $C, $GE, $TSLA, $VIX, $TWTR, $…",TheDomino,18802,981,BULLISH
9,2014-10-16 16:00:54+00:00,don't overthink it - after the spinoff $BABA or PE for $EBAY,A_F,2703,1039,NEUTRAL
10,2014-10-15 21:58:47+00:00,#BreakingNews Did Obama Just Raise The Ebola Threat Level?: 4 weeks ago this is what President Oba... http://t.co/bIKRMpzSvN #rome $BABA,ROXFORD_RADIO,3664,4448,BULLISH
11,2014-10-16 17:59:07+00:00,"Short $BABA 88.30 swing, I think this stock hits new lows before new highs. Stop 90.50. Targets 85 and 80.",codytrades,2542,198,BEARISH
12,2015-10-05 13:58:16+00:00,"$BABA will have another 400m shares hit the market in Q4 once $YHOO gives the shares to it's shareholders!

So, one more lockup expiration!",ALLinCLEVELAND,52,102,BULLISH
13,2015-10-05 20:33:12+00:00,"BABA Alibaba Group Holding Ltd. P/E Ratio
http://t.co/ZaqfFUri22

$BABA $COP $F $XLV #BABA #stocks #stocks",IHNewsDesk,773,502,NEUTRAL
14,2015-10-05 14:12:46+00:00,"RT @clayton_dd: ABBV AbbVie Inc. Ideas
http://t.co/Zj3l5wbDkW

$ABBV $BABA $XLK $AMGN #ABBV #invest #nasdaq",diggingplatinum,939,1392,NEUTRAL
15,2015-10-05 15:50:04+00:00,"XLY Consumer Discretionary Select Sector SPDR Exchange
http://t.co/tmyMU7hJ9T

$XLY $BABA $FCX $JNUG #XLY #tradeideas #nasdaq",Emylers,462,499,NEUTRAL
16,2015-10-05 11:36:38+00:00,"EWC Canada iShares Ex-Div Date
http://t.co/1yD3guPrXF

$EWC $ITB $BABA $XME #EWC #stockmarket #stock",clayton_dd,627,490,NEUTRAL
17,2015-10-05 18:33:14+00:00,"BABA Alibaba Group Holding Ltd. Chart
http://t.co/lyMFbHfSH7

$BABA $EXPE $UNH $JCP #BABA #share #finance",IHPosts,3202,2020,BULLISH
18,2015-09-26 17:19:12+00:00,$BABA Technical Analysis Video 9/25/2015 http://t.co/UKBFvpFx21,ChartGuys,67,28,NEUTRAL
19,2015-09-26 09:33:55+00:00,RT @TradesWell: $BABA watching this now for a swing long trigger over 60.80 which may take a few days to set up. Also may look for a day tr…,DOwen5,9659,2913,BULLISH
20,2015-09-26 02:33:05+00:00,"ATVI Activision Blizzard Inc. Ex-Div Date
http://t.co/k47yIuQzk7

$ATVI $RGLD $BABA $COST #ATVI #pennystocks #stocks",Emylers,456,499,NEUTRAL
21,2015-09-25 22:51:44+00:00,"Our Stock Alerts On $GEQU Are Up 1,757.14% For Platinum Members! Subscribe Here: http://t.co/78K1vcx7mL $SEGI $BABA $SWET",TheStockGuyz,23046,0,NEUTRAL
22,2015-09-26 07:33:08+00:00,"ALV Autoliv, Inc. Day High
http://t.co/o1y8pz9fFV

$ALV $BABA $MCD $RCPI #ALV #stocks #invest",stock_forums,4108,536,BULLISH
23,2015-03-06 20:00:49+00:00,Back in $BABA 4000 shares @ 84.10,WhiteCoatMafia,399,109,BULLISH
24,2015-03-06 04:45:49+00:00,We Have A Lot Of New Penny Stock Picks Coming! Get Early Access: http://t.co/UvQaauKbSm  $SEGI $BABA $SWET,Stockaholics,15538,3,BULLISH
25,2015-03-06 21:46:37+00:00,RT @alphatrends: VIDEO http://t.co/6hhHWm7fKZ Stk Mkt Analysis 3/6/15 $SPY $AAPL $QQQ $IWM $BABA $TLT $GPRO $TSLA,diggingplatinum,466,819,NEUTRAL
26,2015-03-06 13:25:34+00:00,"RT $AAPL Algos triggered SELL in SIGMA-X, CROSSFINDER, ATS, LX @ 08:22, P/T 125.00 $GOOG $BABA $FB $NFLX $BIDU $GPRO  $TSLA #HFT #Quant",TradingGuru,532,356,BEARISH
27,2015-03-06 13:37:20+00:00,Traders Betting On Alibaba Group Holding Ltd Lockup Expiration $BABA http://t.co/mosHrRZJOH #alibaba,investcorrectly,115,283,BULLISH
28,2015-03-06 17:29:14+00:00,$BABA looks to be in process of stabilization. Whales went to work this week.,TradeLeaps,295,196,BULLISH
29,2015-03-06 02:23:10+00:00,"But more importantly $YHOO @Yahoo has a catalyst, $YHOO on March 15th can freely sell $BABA @alibabagroup stock meaning lots of free cash",hedgefundclone,6861,3670,BULLISH
30,2014-11-26 17:29:52+00:00,RT @greatspoke: Undervalued stock news from analyst $LVGI $NTEK $CTIX $AAPL $BABA $MCIG http://t.co/yMExkgEUv1,rodgdeun,1,49,BULLISH
31,2014-11-26 17:31:20+00:00,RT @greatspoke: Undervalued stock news from analyst $LVGI $NTEK $CTIX $AAPL $BABA $MCIG http://t.co/yMExkgEUv1,uhelmanu,1,102,BULLISH
32,2014-11-26 17:35:39+00:00,RT @greatspoke: Undervalued stock news from analyst $LVGI $NTEK $CTIX $AAPL $BABA $MCIG http://t.co/yMExkgEUv1,rypoliwevoza,95,55,BULLISH
