,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 15:44:54+00:00,https://t.co/TIZ3KluDcL SALE on Profitly Use Coupon Code GOODSTUDENT! 50% OFF!!!!! $FB $TWTR $STUDY,LamboTrader,2,41,NEUTRAL
1,2015-12-29 15:47:26+00:00,"""@simonsays452 $FB  ready to breakout. Watching 107.75 with a target at the 27% fib at 111.50"" $FB #AnotherOne https://t.co/CEUDOv0mgn",everytimeicash,104,53,BULLISH
2,2015-12-29 20:26:10+00:00,@TandemTrader is amazing! If you want to learn trading https://t.co/tnWXkQVyfY $TRIL $FB $TWTR $SPY #stocks,StocksRuss,7,60,BULLISH
3,2015-12-29 19:03:17+00:00,"$NPTN Recent News Updated Tuesday, December 29, 2015 1:11:15 PM $GDXJ $FB $UUP $XOM https://t.co/eaikTUgguO",IHNewsDesk,900,457,NEUTRAL
4,2015-12-29 02:13:47+00:00,"RT @SJosephBurns: #FANG return for 2015 is:
$FB +34%  
$AMZN + 115% 
$NFLX + 134%
$GOOG +45%  
***Avg: +82%***

Via @catskillfishing",mike_lachance,724,341,BULLISH
5,2015-12-29 21:01:40+00:00,"SPICY NEWS FOR INVESTORS: Apple Inc (NASDAQ:AAPL), Facebook Inc (NASDAQ:FB … https://t.co/b9WrgB1aVw $FB",TickerLensFB,32,0,BULLISH
6,2015-12-29 06:11:20+00:00,Torn between news sites? Read financial news on just 1 page $MAT $PAY $FB https://t.co/glew6NmGPg https://t.co/kr4zIT79Gu,BUZZ_Just_In,827,386,NEUTRAL
7,2015-12-29 02:34:49+00:00,https://t.co/TIZ3KluDcL SALE on Profitly Use Coupon Code GOODSTUDENT! 50% OFF! $FB $TWTR $STUDY,LamboTrader,1,41,NEUTRAL
8,2015-12-29 02:58:36+00:00,tradingview: $FB - Ready to Breakout; Don't miss - https://t.co/LQJYbuq2YN https://t.co/sIuA5Lg1Kl,bosocial,604,142,BULLISH
9,2015-12-29 17:44:18+00:00,Ready to earn the yacht? https://t.co/C1w2qehxGt How to play $FB https://t.co/hMMyLkc7GZ https://t.co/sIuA5Lg1Kl,bosocial,602,142,NEUTRAL
10,2015-12-29 20:42:05+00:00,Mark Zuckerberg pushes for partial free Internet in India. $FB,BadBoyzAuction,1152,1684,NEUTRAL
11,2015-12-29 05:28:25+00:00,Google: Transforming The Messenger https://t.co/1T6zIko0CU $FB $GOOG $GOOGL https://t.co/sIuA5Lg1Kl,bosocial,603,142,NEUTRAL
12,2015-12-29 03:04:36+00:00,G$FB,parishnivante,1963,757,BULLISH
13,2015-12-29 16:07:31+00:00,Option Millionaires: uranium-pinto-beans: FANG rocked 2015 $FB +38% $AMZN +120% https://t.co/PGnf5mZbsO,ManiOhli,162,0,BULLISH
14,2015-12-29 00:10:03+00:00,We now have a Paper #Trading Simulator! | Let Real Pros Evaluate Your Trades https://t.co/JZQcMaTpXS $AAPL $FB $TWTR https://t.co/NhCo6LFETT,SwingWarrior,60911,31692,NEUTRAL
15,2015-12-29 21:13:07+00:00,"$AAPL $FB $EURCAD $EURUSD $USDJPY $USDCAD Looking for managed solutions? I trade, I get paid only if profitable. M… https://t.co/g2qiIuHcOg",bosocial,602,142,NEUTRAL
16,2015-12-29 06:48:47+00:00,THESE were the most trafficked tech apps of 2015 $FB $GOOG $AMZN $TWTR #techapps #tech #startups https://t.co/0FTupJXh53,Pol_PotHead,487,421,NEUTRAL
17,2015-12-01 22:42:35+00:00,"RT @WSJD: Zuckerberg + his wife, Priscilla Chan, said they plan to give away 99% of their $FB shares, currently valued at $45B
https://t.co…",davidlivs,61,187,BEARISH
18,2015-12-01 22:18:08+00:00,"RT @CNBCnow: BREAKING: Zuckerberg &amp; wife announce plan to donate 99% of their $FB shares to ""advancing human potential and promoting equali…",tpcast,707,601,BEARISH
19,2015-12-01 22:21:47+00:00,"RT @sarahfrier: Zuckerberg giving 99% of his $FB shares away during his lifetime to philanthropic causes, now that he has a daughter https:…",teioh,711,728,BEARISH
20,2015-12-01 22:24:23+00:00,RT @CenterTrading: Tips On Saving Money https://t.co/PskeScdQf5 $DIA $SPY $QQQ $AAPL $FB $GOOG Mark Zuckerberg https://t.co/VwtSdr3O3A,BaggettJacalyn,15,0,NEUTRAL
21,2015-12-01 22:29:14+00:00,Zuckerberg to Newborn Daughter: We Like Biotech Here | Swing Trading with Raul3 https://t.co/8TMzHv9Q4d $FB,The_Real_Fly,23384,1531,BULLISH
22,2015-12-01 22:46:34+00:00,"SMN ProShares UltraShort Basic Materials 52Wk Low
https://t.co/xoJ3AS1PBA

$SMN $FB $JOY $EEM #SMN #investing #pennystocks",stock_forums,4232,490,BEARISH
23,2015-12-01 22:47:57+00:00,"RT @CNNMoney: More details on Mark Zuckerberg and Priscilla Chan's plan to donate 99% of their $FB stock https://t.co/SytcgJCRK5
https://t.…",retconning,685,607,NEUTRAL
24,2015-12-01 22:48:05+00:00,"More details on Mark Zuckerberg and Priscilla Chan's plan to donate 99% of their $FB stock https://t.co/4Vx7cHuRSx
https://t.co/3ryvSLOxLr",2016technews,16,45,NEUTRAL
25,2015-12-01 22:55:53+00:00,"RT @louisvelazquez: Talking $FB &amp; more w/ #KingofAllOptions @petenajarian , @MelissaLeeCNBC &amp; crew only on @CNBCFastMoney #CNBC #Trading ht…",HyndmanjsMeijer,2,330,NEUTRAL
26,2015-12-01 22:56:16+00:00,"RT @louisvelazquez: Talking $FB &amp; more w/ #KingofAllOptions @petenajarian , @MelissaLeeCNBC &amp; crew only on @CNBCFastMoney #CNBC #Trading ht…",pyebien1u,0,0,NEUTRAL
27,2015-12-01 19:46:58+00:00,"Just as long as the Fantastic Four continue their climb... But warn us when you drop.  December positive 75% of time. So, WTF?  $SPY $FB",Lach1435,169,62,BEARISH
28,2015-12-01 21:16:57+00:00,"$FB New SEC Document(s) for Facebook
From our Stock News Alerts App",Allstocknews,896,10,NEUTRAL
29,2015-12-01 21:23:02+00:00,"RT @CNBCnow: BREAKING: Zuckerberg &amp; wife announce plan to donate 99% of their $FB shares to ""advancing human potential and promoting equali…",captjack84,284,552,BEARISH
