,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 03:36:05+00:00,They want you to buy $AAPL $MSFT https://t.co/BQlIzAg00j,TV_TradingIdeas,2903,4,BULLISH
1,2015-12-01 22:31:04+00:00,Great #Gift! #Christmas #Holiday Green Cast Iron Infuser #Teapot &amp; Holiday #Teas https://t.co/DStcowXHxg #xmas $MSFT $GOOG $M $BAC $C $CAKE,AskTheTeatender,1199,2182,NEUTRAL
2,2015-12-01 13:37:25+00:00,"3,500% Gains In 5 Months &amp; A MASSIVE New Pick Is Ready! Check It Out: https://t.co/JL7Dn65Ar0 $NTEK $MSFT $MWIP",TheStockGuyz,19907,0,BULLISH
3,2015-12-01 18:16:11+00:00,"2016 boom?: hybrids or ""detachables: "" tablets such as the new Apple iPad Pro, Microsoft Surface Pro &amp; Google's Pixe"" $AAPL $MSFT $GOOG",alpepinnazzo,187,322,BULLISH
4,2014-08-03 05:42:50+00:00,When Will Microsoft's Nokia Handset Business Become Profitable? http://t.co/I7MJwGPkoE $NOK $MSFT,SeekingAlpha,59654,9,BULLISH
5,2014-08-03 05:35:11+00:00,Are you looking to buy $CLI $DLTR $MSFT  $TRLA Visit http://t.co/rOguIThIEY,CombsReggie,3,0,NEUTRAL
6,2014-08-03 08:44:34+00:00,$ARE Are you considering selling  $MSFT $SNDK  $TUR #Stock http://t.co/7kK5FrSxb2,leroyfireman,26,27,NEUTRAL
7,2014-08-02 22:51:21+00:00,$PSA Todays Stocks you should Watch $MSFT $BRE  $AAPL #investing http://t.co/Mos4JaVJNt,HanhLiles,0,0,NEUTRAL
8,2014-08-03 16:37:02+00:00,RT @chrispycrunch: Buy Nokia On The Next Dip ($NOK $ALU $MSFT)  | Seeking Alpha via @salphatrending http://t.co/bXdn5dSo89,LeftyRonbo,660,143,BULLISH
9,2014-10-16 18:53:17+00:00,"RT $QQQ Algos BROKE 91.70 LEVEL, P/T 90.00 $MSFT $PCLN $GOOG $FB $TWTR $TSLA $AMZN $GPRO $AAPL $NFLX #HFT",TradingGuru,482,337,BEARISH
10,2014-10-15 22:55:39+00:00,"Microsoft : Patent Application Titled ""Closing, Starting, and Restarting Applications"" Published Online http://t.co/Dbx3D0zWG1 $MSFT",ForTraders,5003,66,NEUTRAL
11,2014-10-16 01:00:08+00:00,"$MSFT News: ""Smart Dividend Sector For Recovery's Next Leg $MSFT #MICROSOFT…"" http://t.co/om2cpAFWZb Board view: https://t.co/1mwnA1v1JG",QP_Technology,156,360,NEUTRAL
12,2014-10-16 19:46:29+00:00,RT @ZonebourseNews: Apple : cherche à retrouver de l'élan avec de nouveaux iPad (Tablettes ) http://t.co/no0VV1iy99 $MSFT,Loupo85,2702,2124,NEUTRAL
13,2014-10-16 19:09:35+00:00,"“@shabbirghewalla: ""@StockTwits: Bill Gates'LARGEST equity stakes:$MSFT - $15 billion
...
$ECL - $3.3B

→ http://t.co/grkzqtF2lS""”",HeysannaHosanna,9349,7022,BULLISH
14,2014-10-16 17:57:05+00:00,"$MSFT News: ""This Company Offers A Product Like Customizable, No-Fee ETFs…"" http://t.co/UKe55DDyEG Board view: https://t.co/1mwnA1v1JG",QP_Technology,158,360,NEUTRAL
15,2014-04-04 15:25:09+00:00,RT @WSJ: Is it worth getting Microsoft Office for the iPad? @GeoffreyFowler on the pros and cons: http://t.co/b0xa4Yyoxn $MSFT $AAPL,ldiazammo,1441,2001,NEUTRAL
16,2014-04-04 03:38:34+00:00,#Microsoft says Office iPad apps hit 12 million downloads a week after release - 9 to 5 Mac http://t.co/4gH1ThQzDl $MSFT,ScienceSource1,28,10,BULLISH
17,2014-04-04 15:00:04+00:00,Lies BlackBerry Investors Like to Tell http://t.co/OV27Lz2TOs… via @TheStreet $BBRY $AAPL $GOOG $MSFT,WallStPlaybook,41,129,BEARISH
18,2014-04-04 15:18:25+00:00,I would pass. RT Is it worth getting Microsoft Office for iPad? @GeoffreyFowler on the pros and cons: http://t.co/02ZNWG2C91  $MSFT $AAPL,anirvanghosh,697,446,NEUTRAL
19,2014-04-03 22:08:24+00:00,"$MSFT Microsoft options look like moneymakers, Barron's reports: Full Story http://t.co/WCnjnf27ux",theflynews,4166,74,NEUTRAL
20,2014-04-04 16:57:54+00:00,$MSFT trade alert using Put Selling ladder strategy http://t.co/yH9wVX5gwx,BeFullyInformed,731,31,BEARISH
21,2014-04-04 15:42:38+00:00,"Dow 30 #Stock Roundup: .@Microsoft gains on Office for iPad, .@Boeing wins on big orders. $JPM $CVX $ADP $BA $MSFT http://t.co/T1YgK80W7i",ZacksResearch,6462,642,BULLISH
22,2014-04-04 11:33:01+00:00,THEFLYNEWS:$GOOG $MSFT New America Foundation to hold a forum: Full Story http://t.co/epCCpXl7OY,SwingTradeAlert,1078,201,NEUTRAL
23,2014-04-04 16:52:32+00:00,$MSFT News Alert:  http://t.co/iVySymuueZ  Updated options view: https://t.co/BQPNZ0IiGP  All options views: https://t.co/gu71urLmud,QP_Technology,131,369,NEUTRAL
24,2014-04-04 04:12:09+00:00,"Subscribers saw our Penny Stock Alerts gain 2,100% in 4 weeks! Get the next one early: http://t.co/MHxuI7in4z $NTEK $MSFT $MWIP",PennyDreamTeam,11066,43,BULLISH
25,2015-10-05 21:30:02+00:00,Why The Surface Signifies A Bright Future For Microsoft http://t.co/zHbdsN1YWX $AAPL $MSFT,SAlphaTech,2870,33,BULLISH
26,2015-10-05 10:50:03+00:00,"$MSFT:

Tech Investors Attention Alert: Microsoft Corporation (NASDAQ …:

http://t.co/HDNDieD3oN",ProTradersNews,609,5,NEUTRAL
27,2015-10-05 15:54:55+00:00,RT @metamacro: FYI $INTC IS $MACRO ALL ROADS [#INNOVATION] LEAD THRU #SEMICONDUCTORS $MICRO'S ON THE MOVE UM $INTC $MSFT $NVDA AND *MOORE A…,kovacsjournal,54,718,BULLISH
28,2015-10-05 20:12:31+00:00,"RT @TweakTown: Custom button mapping coming to all Xbox One controllers $MSFT, $SNE http://t.co/jIIDDM3TSw http://t.co/uvQ3BUx9LC",TheGamerTech,267,516,BULLISH
29,2014-05-25 19:38:12+00:00,"Subscribers saw our Penny Stock Alerts gain over 4,000% this year! Subscribe Today: http://t.co/4wK9alr02J $MSFT $ORCL $VOD",Stockaholics,16815,1,BULLISH
30,2014-05-25 09:01:08+00:00,$MSFT: Hands On With Microsoft’s Surface Pro 3 http://t.co/vma6ctlnYx,TeodorGareth,43,0,BULLISH
31,2014-05-25 17:32:08+00:00,"$MSFT - Following Microsoft, Sonys PlayStation business officially enters Chin... -&gt; http://t.co/jMZike9zV0 #stock #stocks #stockaction",stocknews247,782,17,BULLISH
32,2015-03-06 19:55:44+00:00,A simple way to learn the basics of Options http://t.co/qpxNEWAu2d $IBM $MSFT $HPQ,caroltheva,726,1140,NEUTRAL
33,2015-03-06 18:39:55+00:00,Critical technical indicator to study http://t.co/xSh4IpPBcl $IBM $MSFT $HPQ,caroltheva,725,1140,NEUTRAL
34,2014-11-26 19:44:20+00:00,"$MSFT Microsoft : Patent Issued for Counterfeit discs.. unique identifier, wow  http://t.co/jgAxigKK85",xm_consult,36,177,BULLISH
35,2014-11-26 19:20:06+00:00,"Microsoft : ""Shared Compositional Resources"" in Patent Application Approval Process http://t.co/lBeXbOhmv0 $MSFT",ForTraders,5153,66,NEUTRAL
36,2015-11-23 14:54:04+00:00,"$BAC News: ""Actives on open @ CBOE: $AAPL $FB $BAC $MSFT $PFE $AMZN $DIS $GE …"" https://t.co/1TWJJyiZor  Analyze: https://t.co/2TqhC31ILw",QP_BAC,223,189,NEUTRAL
37,2015-11-23 18:30:57+00:00,Monitor your watchlist of assets for tweets- US Tech Giants https://t.co/kdZSg01UFl $AAPL $GOOGL $MSFT $FB $TWTR,BUZZ_Just_In,834,387,NEUTRAL
38,2015-11-23 20:48:34+00:00,"marsontret: RT counternotions: This bromide would not apply to which of ~4K NYSE/Nasdaq companies? 
a) $MSFT
b) $G… https://t.co/tUy2GOBnLm",kthirum1,223,210,NEUTRAL
39,2015-10-13 20:00:03+00:00,"Dear Tim Cook, Amazon Just Banned Your Apple TV 4 http://t.co/wjrw1ZZtjy $GOOG $GOOGL $MSFT $SNE $AAPL $AMZN",SAlphaAAPL,1921,15,BEARISH
40,2015-10-13 12:30:01+00:00,Apple: Mac Increases Market Share Amidst PC Downdraft http://t.co/q7r7pjGC4P $INTC $MSFT $AAPL,SAlphaAAPL,1923,15,BULLISH
41,2015-10-13 12:35:31+00:00,"Morning Beat: Microsoft, BlackBerry Ltd, and Salesforce $MSFT $BBRY $BB.CA $CRM http://t.co/jH0s4MMgUH",investcorrectly,172,317,BULLISH
42,2015-10-13 14:56:11+00:00,Amazon Web Services Adds Upside Despite Stretched Valuations http://t.co/uQwKgtEaKd $HPQ $IBM $MSFT $ORCL $AMZN,SA_LongShort,976,32,BULLISH
43,2015-10-13 18:31:39+00:00,How Do Analysts View Microsoft Corporation (NASDAQ:MSFT)’s Stock? http://t.co/2ILh0ykEGv $MSFT,TickerLensMSFT,46,2,NEUTRAL
44,2016-02-19 21:12:11+00:00,#Microsoft ( $MSFT) Surface Hub delayed again due to 'manufacturing issues'. Read more: https://t.co/pF47Gnm5Fn,App_sw_,17,2,BEARISH
45,2016-02-19 21:12:11+00:00,#Microsoft ( $MSFT) Surface Hub delayed again due to 'manufacturing issues'. Read more: https://t.co/pEeAiNmsNy,internetsoftw_,23,2,BEARISH
46,2016-02-19 20:25:55+00:00,#Microsoft ( $MSFT)'s new note and handwriting app Plumbago now available. Read more: https://t.co/wt7wZIQhrd,App_sw_,17,2,NEUTRAL
47,2016-02-19 11:01:29+00:00,#Microsoft ( $MSFT) Windows Phone Market Share Sinks Deeper to 1.1% - Gartner. Read more: https://t.co/NBG6CIkCQ3,App_sw_,11,2,BEARISH
48,2016-02-19 11:01:29+00:00,#Microsoft ( $MSFT) Windows Phone Market Share Sinks Deeper to 1.1% - Gartner. Read more: https://t.co/sV9plnwOSy,internetsoftw_,15,2,BEARISH
49,2016-02-19 09:18:23+00:00,Our Stock Picks Gained 200% In The Past 5 Weeks! Subscribe For Early Access To New Picks: https://t.co/MhkNWrBKOF $NTEK $MSFT $MWIP,TheStockGuyz,19772,0,BULLISH
50,2016-02-19 23:03:52+00:00,#Microsoft ( $MSFT) Windows 10 Mobile 10586.107 Significantly Improves Windows Hello. Read more: https://t.co/AWfjeyr776,internetsoftw_,24,2,NEUTRAL
51,2016-02-29 22:52:29+00:00,"$MSFT $FTR are the Most Active in After Hours as seen on SpeculatingStocks After-Hours, https://t.co/0sHRjqRl7f #stocks",specstockscom,529,482,BULLISH
52,2016-03-01 08:20:33+00:00,#Microsoft ( $MSFT) Time-saving options for syncing digital life. Read more: https://t.co/oMkb2ApneG,internetsoftw_,30,2,NEUTRAL
53,2016-03-01 14:36:59+00:00,#Microsoft ( $MSFT) unveils Windows 10 feature designed to stymie advanced hack attacks. Read more: https://t.co/usRYck3Bw8,App_sw_,23,2,BULLISH
54,2016-02-29 23:52:12+00:00,#Microsoft ( $MSFT) gathering data to improve biometric login system for Windows 10. Read more: https://t.co/Sz51CeFfmD,internetsoftw_,30,2,NEUTRAL
55,2016-02-29 23:52:12+00:00,#Microsoft ( $MSFT) gathering data to improve biometric login system for Windows 10. Read more: https://t.co/FOuvMEkRLU,App_sw_,22,2,NEUTRAL
56,2015-06-08 23:33:47+00:00,#Tech #stocks $MSFT Microsoft  Daily:-1.18% Weekly:-3.18% YTD:-0.85% Trend:26 / 100  http://t.co/G9H4iSa0sM,Top_Tech_Stocks,301,4,BEARISH
57,2015-06-09 07:41:37+00:00,Microsoft Lumia Sales Tops Apple In Pakistan - $MSFT $SCOR $AAPL http://t.co/VFE3aesM1u via @ValueWalkTech,Israelifreedom,21,12,BULLISH
58,2015-06-09 18:46:42+00:00,$MSFT - Are the Days of Subsidized $200 Smartphones Nearing an End? http://t.co/d3Kw1Cmt4E,ADVFN1,59,137,BEARISH
59,2015-06-09 12:23:02+00:00,"$MSFT $IBM $ORCL:

New Business Models Will Be Enabled By Cloud:

http://t.co/JWiOzrZZvw",ProVesting,316,6,BULLISH
60,2015-06-09 17:45:15+00:00,Is Tim Cook The New Steve Ballmer? $AAPL $GOOG $MSFT http://t.co/BieBq5KDkc http://t.co/4mxzpcpfPh,Benzinga,43370,1371,NEUTRAL
61,2015-06-09 13:20:10+00:00,"""Trade Smarter"" Chart The Next Company 4 Target Price http://t.co/NxcnL2kmxQ   $AAPL $MSFT $GOOG $NVDA $LRCX $INTC $CSCO $FEYE $GILD $FB $MU",icharttop,2875,2647,BULLISH
62,2015-06-09 13:58:28+00:00,"$AAPL 127 @ 0.90 cents
 $SPY $QQQ $AAPL $GOOGL $GOOG $TWTR $FB $BABA $PCLN $TSLA $BIDU $AMZN $MSFT $DDD http://t.co/uiBNew0fIp",jotaibi61,41,14,BEARISH
63,2015-06-09 00:03:29+00:00,$BABA Nice Closing. but not to break 88$   $SPY $QQQ $AAPL $GOOGL $GOOG $TWTR $FB $BABA $PCLN $TSLA $BIDU $AMZN $MSFT http://t.co/d48CaEFyXn,jotaibi61,40,14,BULLISH
64,2016-02-03 17:40:44+00:00,' $BKYI completes $MSFT #Windows10 roadshow ' @BiometricUpdate  https://t.co/gSWKVEeN8A https://t.co/iX9j24mX0w,BIO_KeyIR,253,723,NEUTRAL
65,2016-02-03 19:03:50+00:00,Covata: A Smarter Way To Invest In Enterprise File Synchronization And Share https://t.co/ZA7KYcY7Q5 … $AAPL #APPLE $BOX $CSCO $GOOG $MSFT,whey2muscle,20661,17909,BULLISH
66,2016-02-03 05:02:32+00:00,$MSFT received a new alert. Find out why at https://t.co/nZwqReM0tj #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 1066,mediasentiment,7828,7580,NEUTRAL
67,2016-02-03 16:57:17+00:00,"$GOOGL $AAPL $MSFT $FB $XOM:

That was fast: Apple passes Alphabet again:

https://t.co/7R0nnyzcF1",newswelldone,517,0,BULLISH
68,2016-02-20 20:17:41+00:00,RT @App_sw_: #Microsoft ( $MSFT) Lumia 550 won't charge with Windows 10 Mobile build 14267 for some users. Read more: https://t.co/wbYG0emI…,100rup,1556,831,BULLISH
69,2016-02-20 07:50:43+00:00,#Microsoft ( $MSFT) Video: Check out what's new in Windows 10 Mobile Redstone Build 14267. Read more: https://t.co/5ovFQNEc72,internetsoftw_,28,2,NEUTRAL
70,2016-02-20 07:56:46+00:00,"#Microsoft, #Cisco, #Intel et al form open #IoT standards group: #OpenConnectivityFoundation. #OCF $MSFT $CSCO $INTC https://t.co/LKDsNFAmTg",investoralpha1,997,976,NEUTRAL
71,2016-02-20 07:50:06+00:00,"#Microsoft ( $MSFT) Windows 10 Mobile Insider Preview build 14267 has one known issue, Visual Vo... Read more: https://t.co/FdVgd4z1mb",internetsoftw_,28,2,NEUTRAL
72,2016-02-20 13:21:04+00:00,"RT @chamath: $MSFT IPO in 1986. Profitable since 1982.
$GOOG IPO in 2004. Profitable since 2001.
$FB IPO in 2012. Profitable since 2009.

T…",lukethomas14,975,291,BULLISH
73,2016-02-20 14:24:30+00:00,"RT @chamath: $MSFT IPO in 1986. Profitable since 1982.
$GOOG IPO in 2004. Profitable since 2001.
$FB IPO in 2012. Profitable since 2009.

T…",drpayoff,976,175,BULLISH
74,2016-02-20 19:42:51+00:00,"RT @chamath: $MSFT IPO in 1986. Profitable since 1982.
$GOOG IPO in 2004. Profitable since 2001.
$FB IPO in 2012. Profitable since 2009.

T…",JoeFBlaze,2669,2873,BULLISH
75,2016-02-20 09:05:58+00:00,"#Microsoft ( $MSFT) PSA: Windows 10 Mobile Build 14267 is only available to Lumia 950 XL, 950, 6... Read more: https://t.co/dxAtF0tX5I",internetsoftw_,28,2,NEUTRAL
76,2016-02-20 22:42:15+00:00,$AAPL $MSFT $GE options have the highest volume. Free options screener. https://t.co/8H0gEL7L1p,Maximum_Pain_cm,828,1,NEUTRAL
77,2016-02-20 22:42:38+00:00,"RT @chamath: $MSFT IPO in 1986. Profitable since 1982.
$GOOG IPO in 2004. Profitable since 2001.
$FB IPO in 2012. Profitable since 2009.

T…",arcwhite,718,628,BULLISH
78,2014-09-19 22:12:15+00:00,5 Ways Microsoft Can Earn Billions Monetizing Minecraft $MSFT  http://t.co/DCM6Yhn1gz,JasonRaznick,8956,5857,BULLISH
79,2014-09-20 13:04:13+00:00,RT @MarketWatch: $MSFT is up twice as much as the S&amp;P 500 in the past year: http://t.co/lKR3VRyiYb http://t.co/qeeqscMDnQ,jeremysharp85,185,515,BULLISH
80,2014-09-20 04:07:22+00:00,Weekend Review and Watchlist http://t.co/PS5RbxsFFJ $ATVI $MSFT $AA $MAR $DIS $DTV $GBX $INTC $SLXP $SWKS,JBoorman,7529,398,NEUTRAL
81,2015-08-05 13:17:06+00:00,3 Reasons Advanced Micro Devices Is A Buy http://t.co/zWRAOnFcws $INTC #BRIANKRZANICH #INTEL $MSFT $AMD,SAlphaTech,2711,33,BULLISH
82,2015-08-05 15:12:06+00:00,#Microsoft #Lumia640XL is bestselling #smartphone in #HongKong $MSFT $NOK $BBRY http://t.co/MPFG1gHDAi @BobPisani http://t.co/BQsXg0avio,andreascseh,1349,1592,BULLISH
83,2015-03-25 17:38:09+00:00,Save 75% by finding the cheapest broker to trade US Tech Giants http://t.co/F3popAHoym $MSFT $TWTR $AAPL $FB $GOOGL #spreadbetting #cfd,BUZZ_Just_In,685,347,NEUTRAL
84,2015-03-25 14:15:02+00:00,"$MSFT:

Microsoft Corporation (MSFT): A Victim of Perception Problem:

http://t.co/y5pHtgA0c8",newswithvalue,114,0,BEARISH
85,2014-04-20 15:01:05+00:00,$MSFT: Coca-Cola Or Microsoft? http://t.co/TyJL6yyUck,TheStockHerald,134,0,NEUTRAL
86,2014-04-20 06:56:07+00:00,Google Cloud Is No Real Threat To Microsoft $MSFT http://t.co/rkkojMUh3F,stockwire24,1022,3,BULLISH
87,2015-03-30 08:09:26+00:00,Our Penny Stock Newsletter Picks Gained Over 1485%! Huge Update: http://t.co/cDuleLERch $NTEK $MSFT $MWIP,StockRocketzz,15000,1,BULLISH
88,2015-03-30 08:56:43+00:00,Equinix= Expansion http://t.co/mZIDrL0KLJ #IBDNews vía IBDinvestors  $EQIX $AMZN $MSFT $AAPL $FB $DLR $DFT $GOOG… http://t.co/gOyJTWVTjR,NewsAAPL,38,50,BULLISH
89,2015-03-30 03:42:16+00:00,".@Intel rumored to acquire #FPGA giant @Alteracorp for $10 billion $INTC, $MSFT, $ARMH http://t.co/FseYUAGX2w http://t.co/Kf8ujri7En",camwilmot,613,203,BULLISH
90,2015-03-30 18:02:45+00:00,Look into https://t.co/cHKi9PIQYR $MSFT #finsev,alfangen_3,0,0,NEUTRAL
91,2015-12-06 09:14:54+00:00,RT @andreascseh: #Microsoft beats #Apple in #online tablet sales $MSFT $AAPL #iPadPro #SurfacePro4 https://t.co/r2WURo5HKb @DanZanger https…,notyourcountry,182,770,BULLISH
92,2015-12-06 09:46:31+00:00,"RT @nzgb: ⌛ How long until $MSFT open-sources @MicrosoftEdge?
💸 Place your bets
💰 I bet by dec 2016
🌍 Open-source the planet! https://t.co/…",KingScooty,683,338,BULLISH
93,2015-12-06 08:49:34+00:00,"Access curated tweets- high relevancy, less spam- US Tech Giants https://t.co/kdZSg01UFl $AAPL $GOOG $MSFT $FB $TWTR",BUZZ_Just_In,826,386,NEUTRAL
94,2015-06-28 23:48:33+00:00,"$SUTI Up Another 66.67% Yesterday, Since Our Penny Stock Blog Alert! Huge News: http://t.co/llIxl7cUOL $MSFT $AAPL $GOOG",PennyStockingt,15906,0,BULLISH
95,2015-06-29 21:32:17+00:00,"RT @BlinkX90: $AMD,Hardware review site Kitguru reports that $MSFT is interested in buying $AMD, according to their source: http://t.co/ztG…",DaveK316,57,281,BULLISH
96,2015-06-29 05:30:14+00:00,$PANW $CYBR $FEYE WSJ: Are Cybersecurity Shares Too Hot? http://t.co/Ia4t6fsFXX $INTC $SPLK $EMC $MSFT $TWTR,ACInvestorBlog,12540,322,BEARISH
97,2015-06-29 20:14:27+00:00,Google achieved phenomenal marketshare where it shouldn't have due to  $MSFT fear of cannibalizing shrinking revenue https://t.co/iJGCTPFO3W,ReggieMiddleton,15571,505,BULLISH
98,2015-06-29 09:54:05+00:00,"$MSFT $BKD:

Top Investments: Microsoft Corporation (NASDAQ:MSFT), Brookdale ...:

http://t.co/XZ5diaFcGu",StockNewsWires,436,9,NEUTRAL
99,2015-06-29 20:53:16+00:00,RT @CNBCnow: BREAKING: Microsoft to exit ad-display business in deal with AOL. http://t.co/3katvkxKVc • $MSFT $VZ,Finance_Alerts,19,0,BEARISH
100,2015-06-29 21:50:40+00:00,RT @TheStreetTech: Microsoft and 4 Other Software Companies to Buy Now $MSFT http://t.co/V5RjtYEbjY http://t.co/8y79spmPlu,valente_joao,715,1839,BULLISH
101,2014-07-31 11:55:04+00:00,Microsoft : Hackers May Target Nigeria's Payment Cards Over Security Loopholes http://t.co/pc1x2yUPUl $MSFT $MA,ForTraders,4613,66,BEARISH
102,2014-07-31 17:21:18+00:00,$MSFT major out-performance of $SPX today (-0.2% vs. -1.49%). Hint...hint.,SunAndStormInv,1423,1040,BEARISH
103,2014-07-31 13:01:05+00:00,"$AA: Yesterday's Unusual Options Activity: $EEM, $FXI, $AA, $DAL, $BIDU, $MSFT, $MCD http://t.co/vxNKZRnZS9 http://t.co/6rMJ3GhVBE",fin_vestor,446,0,BULLISH
104,2014-07-31 18:59:21+00:00,Smartphone Market Share - 2Q14 vs. 2Q13 via @neiltwitz $AAPL $MSFT $BBRY $GOOG $QCOM $BRCM $SWKS $RFMD $INVN http://t.co/JSrV7sN6zx,craigbuj,408,1995,NEUTRAL
105,2014-08-29 02:09:49+00:00,$MSFT #Downloads Microsoft Research Dense Visual Annotation Corpus http://t.co/Ze9rMyJI4z,SpeciesGeek,31,16,NEUTRAL
106,2014-08-28 21:59:16+00:00,A Bigger iPad To Reverse The Declining Sales Trend $AAPL  $MSFT http://t.co/655fphDt5P,mahmudPA,841,2001,BEARISH
