,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 09:33:17+00:00,"AAPL Apple, Inc. Bid Size
https://t.co/Z2nP2D9BzF

$AAPL $USO $MCD $CCL.IN #AAPL #stock #stock",DennyT14,875,847,NEUTRAL
1,2015-12-29 18:29:22+00:00,RT @CNNMoney: What was your favorite app of the year? Top picks from Apple and @google: https://t.co/WfDBSii9rT $AAPL $GOOGL https://t.co/s…,cyprusbiz,4841,5105,NEUTRAL
2,2015-12-29 04:13:13+00:00,"$AAPL Investor Opinions Updated Monday, December 28, 2015 9:59:22 PM $BND $WFM $GM $AMD https://t.co/oM9wqf09oi https://t.co/g2qiIuHcOg",bosocial,603,142,NEUTRAL
3,2015-12-29 17:28:49+00:00,RT @LearnBonds: Apple Inc. App Store Was Just Dominated By a Major Rival $AAPL #Apple https://t.co/vQgymMj7R3,AppleNewsOutlet,99,22,NEUTRAL
4,2015-12-29 19:03:15+00:00,$AAPL I don't mean to spoil it but rather put things in prospective the month is heading to 109.34 close as expected https://t.co/DijCRomX5n,DayTradeTK,34,0,BULLISH
5,2015-12-29 13:13:16+00:00,$AAPL $SPY $IWM https://t.co/823FD98V8X https://t.co/g2qiIuHcOg,bosocial,602,142,NEUTRAL
6,2015-12-29 15:28:28+00:00,$AAPL starting to work a little bit. a consolidation around 108 would be spot to add...,sspencer_smb,13482,380,BULLISH
7,2015-12-29 18:12:01+00:00,"RT @CNBCnow: Top Dow components today?

$AAPL, $BA, and $DD. https://t.co/syO0JX6Sqb",GVGOZZ,321,783,BULLISH
8,2015-12-29 18:13:14+00:00,$AAPL LOLOLOLOL!  https://t.co/LSK1zGiZcq https://t.co/g2qiIuHcOg,bosocial,602,142,BULLISH
9,2015-12-29 18:19:01+00:00,What was your favorite app of the year? Top picks from Apple and @google: https://t.co/WfDBSii9rT $AAPL $GOOGL https://t.co/sTdW7f2SGk,CNNMoney,1164060,909,NEUTRAL
10,2015-12-29 08:32:20+00:00,"RT @StockTwits: We're nearing 100+ stock market predictions for 2016. What stocks will you own? Post here: https://t.co/USl71cUqjg

$AAPL $…",nudemoney,7140,357,BULLISH
11,2015-12-29 18:47:11+00:00,RT @CNNMoney: What was your favorite app of the year? Top picks from Apple and @google: https://t.co/WfDBSii9rT $AAPL $GOOGL https://t.co/s…,ElyBahiana,3184,3553,NEUTRAL
12,2015-12-29 22:20:12+00:00,@jonasQuinn23 #investors don't trust such reports. We had a report in 2012 or 2013 &amp; later found $AAPL beat the numbers.,spakkal,89,439,BEARISH
13,2015-12-29 00:37:28+00:00,"RT @OpenOutcrier: $AAPL devices account for 49% of all new activations during Christmas 

https://t.co/mS8hjd8IGm",theRealBethAnn,1089,4216,BULLISH
14,2015-12-29 14:03:25+00:00,"Trading Strategies for stocks, ETFs and Penny stocks: https://t.co/Upddhj47pY  $QQQ $SPY $DJIA $DIA $AAPL $NFLX $DD $MMM $MET $DIS $GE $SPLS",StockWebTrading,3386,3096,NEUTRAL
15,2015-12-29 06:33:43+00:00,"$AXXE Short Sales Updated Tuesday, December 29, 2015 00:42:50 AM $ARYC $AXXE $BRWC $AAPL https://t.co/Inu83jEPYF",IHPosts,3373,2001,BEARISH
16,2015-12-29 06:47:27+00:00,CityFALCON score gives top rated news for FREE #bigdata $AAPL $TSLA https://t.co/dPpKdbV6WC https://t.co/roiS08dnyO,PortfolioBuzz,749,661,NEUTRAL
17,2015-12-29 15:13:15+00:00,$AAPL 5min pennant looks like it wants to break out https://t.co/g2qiIuHcOg,bosocial,602,142,BULLISH
18,2015-12-29 12:43:19+00:00,Fave Five for the Holidays $AAPL $HAIN $DKS $TMH $UA https://t.co/HcNgHlOJlz https://t.co/g2qiIuHcOg,bosocial,602,142,BULLISH
19,2015-12-29 19:52:54+00:00,"""Tesla ramps up hiring in face of automotive threats from Apple, others"" $GOOG $TSLA $AAPL https://t.co/ZhzxXJEt4K",dmackdaddy,1606,1990,BEARISH
20,2015-12-29 00:10:03+00:00,We now have a Paper #Trading Simulator! | Let Real Pros Evaluate Your Trades https://t.co/JZQcMaTpXS $AAPL $FB $TWTR https://t.co/NhCo6LFETT,SwingWarrior,60911,31692,NEUTRAL
21,2015-12-29 03:36:05+00:00,They want you to buy $AAPL $MSFT https://t.co/BQlIzAg00j,TV_TradingIdeas,2903,4,BULLISH
22,2015-12-29 21:07:29+00:00,Tip #4 How to identify a HOT SECTOR? https://t.co/6FYLHupC8x $AAPL $ANF $NTLS $KOLD $BOBE,StockTradingDVD,20,60,NEUTRAL
23,2015-12-29 21:13:07+00:00,"$AAPL $FB $EURCAD $EURUSD $USDJPY $USDCAD Looking for managed solutions? I trade, I get paid only if profitable. M… https://t.co/g2qiIuHcOg",bosocial,602,142,NEUTRAL
24,2015-12-29 06:21:49+00:00,"RT @StockTwits: We're nearing 100+ stock market predictions for 2016. What stocks will you own? Post here: https://t.co/USl71cUqjg

$AAPL $…",AAPL_Charts,52,33,BULLISH
25,2015-12-01 16:45:55+00:00,"Citing rapid #AppleWatch adoption, British Airways to launch wrist-friendly ticket scanners  $AAPL #aapl #applenews 
https://t.co/ozPCoBzVdh",FITradingApple,435,463,BULLISH
26,2015-12-01 15:48:26+00:00,Apple turns store logos red and promotes (RED) products for World AIDS Day https://t.co/gcH6TwDdYJ #9to5Mac $AAPL… https://t.co/g2qiIuHcOg,bosocial,636,142,BULLISH
