,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 00:49:06+00:00,"$TBT Recent News Updated Monday, December 28, 2015 7:10:49 PM $BAC $VEU $FXCM $DCAC https://t.co/QgUXpjFWjJ",IHNewsDesk,897,457,NEUTRAL
1,2015-12-29 17:03:20+00:00,"we know the CEOs of $JPM,$C,$BAC,$WFC,$GS,$AIG all had prayer cubicles in their office w/tiny statues of Greenspan,Bernanke&amp;a printing press",Lhommeancien,283,44,BEARISH
2,2015-12-29 00:33:33+00:00,"ARIA ARIAD Pharmaceuticals, Inc. EOD Data
https://t.co/TfZPF5TKZ9

$ARIA $SKX $BAC $CAT #ARIA #stocks #finance",IHNASDAQOMX,701,455,NEUTRAL
3,2015-12-29 20:36:08+00:00,"DAL VelocityShares 3x Inverse Natural Gas ETN Ideas
https://t.co/Rw4iIOn94Y

$DAL $OCLR $BAC $GOOGL #DAL #stock #pennystocks",1LuckyJimmy,575,447,BULLISH
4,2015-12-29 20:15:10+00:00,"$BAC Percent Change Updated Tuesday, December 29, 2015 2:59:23 PM $CHK $TIP $BRCM $HD https://t.co/5Dz8PsjmNJ",rosnerstocks,1189,142,NEUTRAL
5,2015-12-29 16:12:34+00:00,"$GPRO Recent News Updated Tuesday, December 29, 2015 10:59:23 AM $AA $XLY $IWM $BAC https://t.co/iOdAdBteXK",rosnerstocks,1189,142,NEUTRAL
6,2015-12-01 22:31:04+00:00,Great #Gift! #Christmas #Holiday Green Cast Iron Infuser #Teapot &amp; Holiday #Teas https://t.co/DStcowXHxg #xmas $MSFT $GOOG $M $BAC $C $CAKE,AskTheTeatender,1199,2182,NEUTRAL
7,2014-08-03 00:37:01+00:00,$BAC Stocks to Watch this week $SNV $NE $GOGO Try this http://t.co/XvJoA4AeHc,harshclam82,9,6,NEUTRAL
8,2014-08-03 19:43:00+00:00,Free course on Put Call parity http://t.co/cx5X9QvlaR $JPM $BA $BAC,caroltheva,620,1149,BEARISH
9,2014-08-03 17:20:35+00:00,Jake13: $BAC Buy or Sell Opinion Click here to find out http://t.co/4yOHlboeJ6,IHPosts2,12635,477,NEUTRAL
10,2014-10-16 17:37:39+00:00,$BAC - Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp) http://t.co/fv65McCrjf,NASDAQODUK,43,0,NEUTRAL
11,2014-10-16 11:21:51+00:00,"RT @AWastler: Top stock lookups on http://t.co/dw39TKnsmw ysty: $AAPL, $NFLX, $BAC, $FB, $SPY, $BABA, $INTC, $C, $GE, $TSLA, $VIX, $TWTR, $…",TheDomino,18802,981,BULLISH
12,2014-10-16 04:07:54+00:00,http://t.co/2HqI7fvZb6 Verified $15.91 profit in $BAC got out before this tanked 6%,Hereitfirst_,765,88,BEARISH
13,2014-10-16 16:01:39+00:00,"Moynihan not planning to leave and the ending of the Charlotte mafia. &gt; great
$BAC  http://t.co/ZxB3dL7Z3O",PlanMaestro,3938,518,BULLISH
14,2014-10-16 20:02:25+00:00,"$BAC Earnings Preview: Bank of America Corp (BAC), Goldman Sachs Group Inc (GS ... http://t.co/EZBdgRkeZB",IrmaLaLaDouce,24,26,NEUTRAL
15,2014-10-16 19:45:42+00:00,"""Want to reach """"guru"""" levels with Options ? http://t.co/LWfH9pz2fJ $JPM $BA $BAC """,caroltheva,667,1147,NEUTRAL
