,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 20:29:43+00:00,L$D,YuhBoiKamo,881,473,BULLISH
1,2015-12-29 05:22:00+00:00,L$D,_ashleysalmon,1054,574,BULLISH
2,2015-12-29 05:04:06+00:00,L$D,Luis817__,606,223,BULLISH
3,2015-12-29 05:14:30+00:00,RT @emilypiazza_: S$U$G$A$R  D$A$D$D$Y,julianaapardo,947,496,BULLISH
4,2015-12-29 03:07:33+00:00,"RT @RomanaFerrer: ""Va a pasar lo mismo que en Pluna, se los auguro hoy, y el agujero va a ser mas grande, 1200 millones de U$D más!"" @Pedro…",antonioelhordoy,113,303,BULLISH
5,2015-12-29 22:03:53+00:00,L$D,DallensLIT,184,293,BULLISH
6,2015-12-29 13:28:54+00:00,Baby I'm just rocking to this L$D,Getyoda,1591,943,BULLISH
7,2015-12-29 13:31:14+00:00,RT @LucioQuincioC: @JacquelinePSUV deberias explicar donde estan los U$D 14 millardos que te robaste para la limpieza del rio Guaire  https…,0716d00675884b1,35,98,NEUTRAL
8,2015-12-01 17:31:19+00:00,RT @LucioQuincioC: @JacquelinePSUV deberias explicar donde estan los U$D 14 millardos  que te robaste para la limpieza del rio Guaire https…,edit_luisa,42,107,NEUTRAL
9,2014-08-03 17:58:20+00:00,RT @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf,JenniferFiguera,130,245,NEUTRAL
10,2014-08-03 19:06:36+00:00,RT @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf,silveira2906,2443,1824,NEUTRAL
11,2014-08-03 21:39:12+00:00,RT @estebangerbasi: 100% @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza d…,damolu05,23,75,BULLISH
12,2014-08-03 21:44:57+00:00,"""@LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf""",luisvitaleal,239,590,NEUTRAL
13,2014-08-03 21:12:36+00:00,RT @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf,luzmaria8a,765,1692,NEUTRAL
14,2014-08-03 21:27:39+00:00,RT @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf,jethro7219,77,95,NEUTRAL
15,2014-08-03 17:51:04+00:00,RT @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf,MATP1407,322,495,NEUTRAL
16,2014-08-03 18:07:13+00:00,RT @LucioQuincioC: Jackelin Farias deberia explicar donde estan los U$D 14 millardos que le dieron para la limpieza del rio Guaire #cecaf,Y0S0YFANNY,133,67,NEUTRAL
