,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 17:53:51+00:00,"RT @CNBCnow: Stocks hitting all-time highs today:

$GOOG &amp; $GOOGL
$MCD
$AMZN
$RCL
$DPS
$SJM https://t.co/Yvx1eaz7u4",BrandonML,217,212,BULLISH
1,2015-12-29 02:13:47+00:00,"RT @SJosephBurns: #FANG return for 2015 is:
$FB +34%  
$AMZN + 115% 
$NFLX + 134%
$GOOG +45%  
***Avg: +82%***

Via @catskillfishing",mike_lachance,724,341,BULLISH
2,2015-12-29 21:03:41+00:00,"FYI $GOOG r still grimy, sneaky, bastards. That will never change.  https://t.co/elzaduesHg",InfiniteAndMain,275,739,BEARISH
3,2015-12-29 21:21:25+00:00,"RT @CNBCnow: Stocks hitting all-time highs today:

$GOOG &amp; $GOOGL
$MCD
$AMZN
$RCL
$DPS
$SJM https://t.co/Yvx1eaz7u4",farismismar,158,288,BULLISH
4,2015-12-29 21:47:16+00:00,"RT @CNBCnow: Stocks that set new record closing highs today:

$GOOG, $GOOGL, $AMZN, $RCL, $K, $MCD, $DPS, $KMB, $TMO. https://t.co/k4Kg8tED…",harians,56,120,BULLISH
5,2015-12-29 05:28:25+00:00,Google: Transforming The Messenger https://t.co/1T6zIko0CU $FB $GOOG $GOOGL https://t.co/sIuA5Lg1Kl,bosocial,603,142,NEUTRAL
6,2015-12-29 19:52:54+00:00,"""Tesla ramps up hiring in face of automotive threats from Apple, others"" $GOOG $TSLA $AAPL https://t.co/ZhzxXJEt4K",dmackdaddy,1606,1990,BEARISH
7,2015-12-29 06:48:47+00:00,THESE were the most trafficked tech apps of 2015 $FB $GOOG $AMZN $TWTR #techapps #tech #startups https://t.co/0FTupJXh53,Pol_PotHead,487,421,NEUTRAL
8,2015-12-29 12:12:10+00:00,"$GOOG $GOOGL:

Alphabet Inc (GOOG) Insists Google Glass Project Is Not Dead, and …:

https://t.co/FHOl1rOqXW",newswelldone,497,0,BEARISH
9,2015-12-01 22:31:04+00:00,Great #Gift! #Christmas #Holiday Green Cast Iron Infuser #Teapot &amp; Holiday #Teas https://t.co/DStcowXHxg #xmas $MSFT $GOOG $M $BAC $C $CAKE,AskTheTeatender,1199,2182,NEUTRAL
10,2015-12-01 22:24:23+00:00,RT @CenterTrading: Tips On Saving Money https://t.co/PskeScdQf5 $DIA $SPY $QQQ $AAPL $FB $GOOG Mark Zuckerberg https://t.co/VwtSdr3O3A,BaggettJacalyn,15,0,NEUTRAL
11,2015-12-01 13:35:02+00:00,"$GOOG Institutional ownership up 2.87% Q/Q, with 14,877,600 net purchase https://t.co/WrHNoObXKo https://t.co/LUPbhuHNqA",WatchTheFunds,302,0,BULLISH
12,2015-12-01 18:16:11+00:00,"2016 boom?: hybrids or ""detachables: "" tablets such as the new Apple iPad Pro, Microsoft Surface Pro &amp; Google's Pixe"" $AAPL $MSFT $GOOG",alpepinnazzo,187,322,BULLISH
13,2015-12-01 16:02:46+00:00,RT @theflynews: Barclays sees three of four FANG stocks continuing outperformance $AMZN $NFLX $GOOG $GOOGL $FB: Full Story https://t.co/Xpp…,stockassassin74,805,1091,BULLISH
14,2014-08-03 09:14:34+00:00,Are you Bullish on these #stocks $OV $PDM $FLS $GOOG View now http://t.co/sLnUMe6Pt8,kafadyfujiq,329,431,BULLISH
15,2014-08-03 08:06:53+00:00,$AMAT Stocks to Watch this week $CPRT $TE $GOOG I suggest http://t.co/KC6GEJusoe,jacobs6s,2,0,NEUTRAL
16,2014-08-03 12:23:34+00:00,"""Android vulnerability used to hijack apps &amp; devices, still a threat after nearly 2 years""
$GOOG #Android #tech #news http://t.co/a4fMgm6kcr",ehsdirector,3232,3175,BEARISH
