,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 15:31:59+00:00,$PCLN 1285p out -2,oobiewpb,754,915,BEARISH
1,2015-12-29 19:06:15+00:00,Option Millionaires: therealliontamer: Posted $PCLN this morning! But then when I https://t.co/3SDPImXI4Q,ManiOhli,163,0,BULLISH
2,2014-08-02 23:57:52+00:00,Get more info on $LNT $DEI $ROK $PCLN I suggest http://t.co/epkhJ8nx2B,I87Greg,8,9,NEUTRAL
3,2014-08-03 00:06:08+00:00,$NNN Get great research on stocks $OII $HLF $PCLN #moneymanagement http://t.co/gYaGC9GdRN,addie_jh,3,0,NEUTRAL
4,2014-08-03 02:14:17+00:00,Wow. Great #Stock #Research on $AWH $OCN $RGLD $PCLN View now http://t.co/in26XVZajd,IJaimestanley,4,0,BULLISH
5,2014-08-02 23:26:23+00:00,Are you looking for winners like $HCC $TRV $SNPS  $PCLN I suggest http://t.co/JRmg2eciSi,SecondWilder,0,0,BULLISH
6,2014-10-16 18:53:17+00:00,"RT $QQQ Algos BROKE 91.70 LEVEL, P/T 90.00 $MSFT $PCLN $GOOG $FB $TWTR $TSLA $AMZN $GPRO $AAPL $NFLX #HFT",TradingGuru,482,337,BEARISH
7,2014-10-16 16:04:28+00:00,@Bio_guy17 holding well in face of terrible news... that's usually good. but who really knows. trading headlines is guesswork $PCLN,racernic,1082,55,BEARISH
8,2014-10-16 14:01:14+00:00,"Largest #premium trade yesterday

200 $PCLN JAN $650 #Calls BOT @ $417 

Over $8M in premium #Size",RB_Tech_Social,341,655,BULLISH
9,2014-10-16 15:51:37+00:00,@racernic forming a dragonfly doji on the weekly. $PCLN reversing course here?,Bio_guy17,157,85,BEARISH
10,2014-04-04 21:16:33+00:00,$PCLN Stocks: brutal finale to week http://t.co/DqG4wlPfQv,GavinGreenberg,308,0,BEARISH
11,2014-04-04 12:16:40+00:00,$PCLN deep short in darkred ended yesterday but the sell signal has not! more fun on this one !! http://t.co/nEmLpJUuiH,tradethembi,856,60,BEARISH
12,2014-04-04 19:30:36+00:00,@chartschmart Jabeeeezus!   $PCLN !,BlueFielder,3417,147,BULLISH
13,2014-04-04 15:44:51+00:00,Looking for more info on $CRI $UFS $TDC $PCLN #overvalued http://t.co/KTEAudCB9j,HanaCooneyl,0,0,BEARISH
14,2014-04-04 16:01:11+00:00,Great  #Stock Newsletter you must have $FE $HON $MRVL $PCLN Try this http://t.co/xXZuBRGDuF,JanethShortervb,0,0,NEUTRAL
15,2014-04-04 17:45:10+00:00,#Stocks you might want to  hold onto $BLL $PL $INTC $PCLN #wallstreet http://t.co/AmWTKIsS9R,RefugioWallisci,0,0,NEUTRAL
16,2014-04-04 20:31:21+00:00,Find the next hot #pennystock $M $APAM $CMCSA  $PCLN #NASDAQ http://t.co/wdDI5WNvny,VerniceMccooluo,0,0,BULLISH
17,2014-04-04 19:15:48+00:00,Sick and Tired of losing money on $PCLN $NVE $KLAC $BWP #wealthmanagement http://t.co/v3ito9fegb,marquisatem,54,85,BEARISH
18,2015-10-05 15:50:04+00:00,"XLV Health Care Select Sector SPDR Current Price
http://t.co/Z5vurOFQKo

$XLV $NFLX $PCLN $XLE #XLV #nasdaq #share",PolgarStocks,847,497,NEUTRAL
19,2015-09-26 00:05:41+00:00,$GPRO Another blast from the past - http://t.co/IEBPpPKizf $AAPL $GILD $GOOG $GOOGL $PCLN $SPY $Z $QQQ $NFLX $GL… http://t.co/6GtxeYO85j,satish_kumar21,14,5,BULLISH
20,2015-09-25 22:04:58+00:00,"RT @tradewithjoe: SPECIAL $25/month Twitter Rate - 
http://t.co/J1xwgbmglc
$LNKD $PCLN $BIDU $GOOGL $GOOG $NFLX $AAPL $AMZN $BAC $FIT $SHAK…",thomasmbakerjr,278,710,NEUTRAL
21,2015-09-26 19:33:05+00:00,"ALS.TO Altius Minerals Corp. Filings
http://t.co/jRxDUkTPSB

$ALS.TO $TXT $PCLN $PG.TO #ALS.TO #investing #investing",DennyT14,783,894,NEUTRAL
22,2015-09-26 19:34:02+00:00,"BIDU Baidu, Inc. Open
http://t.co/L6x2lRbd9K

$BIDU $JNK $SLV $PCLN #BIDU #nasdaq #stocks",rosnerstocks,992,144,NEUTRAL
23,2014-05-25 08:14:06+00:00,$PCLN: The Value Investor 500: 2014 http://t.co/DfsCLmTEJc,PlaceTrader,64,0,NEUTRAL
24,2015-03-06 17:45:54+00:00,$PCLN OI for maturity 03/06/2015. 1230.00 Highest put. 1250.00 Highest call. http://t.co/ebI3UlfSk2,Maximum_Pain_cm,471,1,NEUTRAL
25,2015-03-06 10:46:06+00:00,Free Stock Options Tutorial #payoff diagrams!!! http://t.co/aap6sE3zNm $PCLN $$NFLX $V $AAPL $CAT $NUGT $DUST http://t.co/rqoEeKELfH,stocknugget,2943,1437,NEUTRAL
26,2014-11-26 01:36:54+00:00,Awesome #Stock #Research on $ADBE $XRX $PF $PCLN #singedinvestor http://t.co/r9U5JVNtjk,clarke_cami,195,622,BULLISH
27,2014-11-26 12:13:18+00:00,Whats going on with $PRE $UA $SKT $PCLN #overvalued http://t.co/JtaVvvTJT3,FaganShena,222,660,BEARISH
28,2014-11-26 12:22:21+00:00,Are you Bullish on these #stocks $F $EV $PII $PCLN Must see http://t.co/IHgU6jt9oC,787_ruth,191,589,BULLISH
29,2014-11-26 20:05:02+00:00,Do you think you should hold $DO $SO $GLNG $PCLN #liquidity http://t.co/3rWkBtidj7,frail378,311,438,NEUTRAL
