,Date,Text,User,Followers,Friends,sentiment
0,2015-12-29 01:13:50+00:00,RT @ItsBravado: OutCV$T is out now on @spinrilla !!! Spread the word. Tell everybody !!! https://t.co/XJf27dY5Y1 https://t.co/Fyp20V9Yw4,Uhh__Lauren,29170,21114,BULLISH
1,2015-12-29 01:13:50+00:00,RT @ItsBravado: OutCV$T is out now on @spinrilla !!! Spread the word. Tell everybody !!! https://t.co/XJf27dY5Y1 https://t.co/Fyp20V9Yw4,Paid_stax,11527,4490,BULLISH
2,2015-12-28 23:22:50+00:00,RT @__ssoull: IINVE$T IN YOURSELF MORE‼️,BZJROC,1193,1188,BULLISH
3,2015-12-29 04:50:33+00:00,"Posted a new photo: ""Deviou$ - TRu$T NO ONE (2/14/2016)"" https://t.co/2ZVHqvuKXw https://t.co/WoE5MFYdtr",RealKingDeviouS,380,311,NEUTRAL
4,2015-12-29 20:47:03+00:00,"T ProShares UltraShort  20+ Year Treasury Company Info
https://t.co/RVkTLB5viS

$T $XLP $OIL $HVU.TO #T #nasdaq #stock",clayton_dd,759,445,NEUTRAL
5,2015-12-29 14:45:36+00:00,"RGBP Royal Gold, Inc. P/E Ratio
https://t.co/7xo2T2osC4

$RGBP $IWM $XIV $T #RGBP #pennystocks #stock",lookn4wins,1072,450,NEUTRAL
6,2015-12-29 03:42:57+00:00,"Listen to TRIPLE 6 FT. YUNGPURRP (PROD. BY CA$T by Daavid Banks. #np on #SoundCloud
https://t.co/KkjPbPHIs9 listen to this shit is lit",Worldsinners,404,371,NEUTRAL
7,2015-12-29 06:30:08+00:00,RT @Antt_5: 66$T Who Fucking With Us ?,MeerFazo,36,42,BEARISH
8,2015-12-01 10:04:04+00:00,OMG!!! Naija Babe Flaunting Her BR£A$T Carelessly {18+} &gt;&gt;&gt; https://t.co/thiWZIqObe,Twitidol,1694,1363,BULLISH
9,2015-12-01 10:04:04+00:00,OMG!!! Naija Babe Flaunting Her BR£A$T Carelessly {18+} &gt;&gt;&gt; https://t.co/3B2oNu5kdG,olayinkahl007,666,352,BULLISH
10,2015-12-01 14:31:18+00:00,✔️💯 #MuzikkZone   🚶👌 THE RE$T #GM  #RT2GAIN  #THE_BEST 👉 @MREESE06 @Princess3Rina @110292409  @DJDRAMA  @Kokaneofficial @Sammi_Gemini 🔽✔️/:,CUMrockPRETTY,4043,3727,BULLISH
11,2015-12-01 21:19:15+00:00,"""THE DON..."" BOOK ME NOW TO DJ YOUR CLUB, PARTY &amp; EVENTS... ONLY THE BE$T...!!! 👑👑👑 https://t.co/KihLLzgZkj",thedonizblessed,13350,1072,NEUTRAL
12,2015-12-01 18:28:34+00:00,RT @CUMrockPRETTY: ✔️💯 #MuzikkZone   🚶👌 THE RE$T #GM  #RT2GAIN  #THE_BEST 👉 @MREESE06 @X_RATED25 @DABOIICE  @BanginHits @Pretty_Patron @Bla…,X_RATED25,24696,10723,NEUTRAL
13,2014-08-03 17:58:09+00:00,İ$TĘ HAYATIM ßOŁÈ ßØŞ ßĮR KÅHKÁHĀ...,_aLooNeAnGeL_,642,1482,BULLISH
14,2014-08-03 02:26:30+00:00,FUCK A 20TH $T THEY DIDNT EVEN HONOR ZEEM !!!! http://t.co/YSzgsv0465,justice4azim__,322,1292,BEARISH
15,2014-08-03 19:08:08+00:00,Photoset: ULTRAxWE$T collection by Angel Wynter #genesisultra http://t.co/4s6G2sFa03,WestsideGEMINI,341,185,NEUTRAL
16,2014-08-03 19:19:44+00:00,8/15/14 Sacramento's Very Own £O$T GENƎRATION will be performing LIVE in action @ The BoardWalk in… http://t.co/V7eaFBIV5H,DJ_2Raw,1667,915,BULLISH
17,2014-08-03 11:01:55+00:00,$DAL Are you thinking of selling $T $SHW $CHTP #moneymanagement http://t.co/euRKwVqo9W,AromaticTyler,15,18,NEUTRAL
18,2014-08-03 02:47:22+00:00,"RT @CasbyMdm: Thanks to those who supported the "" #WE MADE IT "" PROMO video brought to you by #$T®€€t G€€Kz and #MDM. Check us out http://t…",jsandheadfones,112,402,BULLISH
19,2014-08-03 02:49:51+00:00,"RT @by_CAZANOVA_8K: THE BE$T!
♦
@dafnehurley 
♦
@Leona_Despierta  
♦
@Azulis 
♦
@Aunque_Te_Duela 
♦
@El_RT_ 
♦
@minlede 
♦
@shaser25 
♦",shaser25,14786,14818,BULLISH
